Date,Close,pct_change,direction,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2021-01-05,17.370001,0.695657971014474,1,-0.994,-0.656,-0.917,-0.526,-0.536,-0.115,0.972,-0.019,-0.921,-0.596
2021-01-06,18.360001,5.69948153716284,1,0.112,-0.086,-0.239,-0.496,-0.522,1,-0.475,-0.205,-0.991,-0.198
2021-01-07,18.08,-1.52505982978978,-1,0.43,-0.996,-0.415,-0.683,-0.627,-0.881,-0.994,-1,-0.466,0.978
2021-01-08,17.690001,-2.15707411504424,-1,0.112,-0.032,-0.228,-0.214,-0.998,-0.962,-0.994,-0.998,-0.55,-0.007
2021-01-11,19.940001,12.7190495919135,1,-0.999,0.729,0.004,-0.012,0.996,0.829,0.851,-0.357,-0.492,-0.493
2021-01-12,19.950001,0.0501504488390037,1,0.325,-1,-0.223,-0.152,-0.034,-0.222,-0.921,0.048,-0.181,0.803
2021-01-13,31.4,57.3934758198759,1,-0.995,0.854,0.903,-0.015,-1,-0.237,-0.474,0.142,-0.116,-0.969
2021-01-14,39.91,27.1019108280255,1,-0.454,-0.139,-0.995,-0.392,-0.753,-0.749,-0.621,-0.479,-0.618,-0.87
2021-01-15,35.5,-11.0498621899273,-1,-0.598,0.663,0.238,-0.908,0.016,-0.29,-1,0.005,0.959,-0.552
2021-01-19,39.360001,10.8732422535211,1,-0.996,-0.97,0.908,-0.336,-1,0.992,-0.499,0.011,0.338,-0.402
2021-01-20,39.119999,-0.609761163369882,-1,0.245,0.354,0.021,-0.726,-0.36,-0.242,-0.845,0.412,-0.445,-0.656
2021-01-21,43.029999,9.99488778105539,1,-0.996,0.654,-0.412,-0.881,-0.487,0.829,-0.053,-0.99,0.931,-0.5
2021-01-22,65.010002,51.0806495719417,1,-0.999,-0.997,-0.995,0,-0.391,-0.003,-0.451,-0.666,-0.031,-0.919
2021-01-25,76.790001,18.1202870905926,1,0.452,0.091,-0.464,-1,-0.714,-0.722,0.56,-0.999,0,-0.3
2021-01-26,147.979996,92.7073760553799,1,-0.153,-0.405,-0.498,-0.489,-0.494,-0.623,0.225,-0.774,-0.029,0.882
